Date/Time,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),Performance_Ratio,Power_Deviation,Anomaly_Score,Is_Anomaly_IF,Underperformance_Flag,Combined_Anomaly,Anomaly_Severity
2018-07-21 19:50:00,284.152801513671,5.35757493972778,428.946516701699,18.7295093536376,0.662443427763828,-33.75565699048791,-0.5199305456868254,0,True,1,Moderate
2018-07-21 20:00:00,273.495697021484,5.27978801727294,407.825797686067,18.5070705413818,0.6706189208790427,-32.938107666892996,-0.5166536841515937,0,True,1,Moderate
2018-07-21 20:10:00,239.590896606445,4.99325513839721,334.344338573413,19.6479701995849,0.7165992309369943,-28.340076607207727,-0.4983699102265044,0,True,1,Moderate
2018-07-21 20:30:00,194.735702514648,4.79764890670776,287.800442525927,9.32747745513916,0.6766344767536987,-32.336551977167154,-0.5126948734559343,0,True,1,Moderate
2018-07-21 20:50:00,250.560592651367,4.98018789291381,331.147297631722,7.02172088623046,0.7566439276016028,-24.335606937859303,-0.5188364831935789,0,True,1,Moderate
2018-07-21 21:00:00,183.638900756835,4.6871919631958,262.708135482045,7.28131198883056,0.6990225092224578,-30.09774869710366,-0.5189631289903545,0,True,1,Moderate
2018-07-21 21:10:00,132.015792846679,4.36164808273315,193.275396061779,11.9739904403686,0.6830449961744545,-31.695499865158123,-0.512270193132371,0,True,1,Moderate
2018-07-21 21:20:00,161.45849609375,4.62820196151733,249.640039288461,7.67557287216186,0.6467652220660735,-35.32347739281589,-0.520944468651965,0,True,1,Moderate
2018-07-21 21:30:00,113.618896484375,4.15879201889038,153.058362233276,4.20209407806396,0.7423240003632381,-25.767599310330645,-0.5400017567264529,0,True,1,Moderate
2018-07-21 21:40:00,116.764999389648,4.22251796722412,165.462098896597,2.41494798660278,0.7056903028706785,-29.43096910856415,-0.5375344216147867,0,True,1,Moderate
2018-07-21 21:50:00,84.2322998046875,4.01596307754516,125.969428487617,4.33669281005859,0.6686725513269685,-33.13274407345976,-0.5402486933604094,0,True,1,Moderate
2018-07-21 22:00:00,54.0098304748535,3.89023494720458,107.888979208496,358.830413818359,0.5006056259914519,-49.93943647397609,-0.6064580365493106,1,True,1,Critical
2018-07-21 22:10:00,114.912803649902,4.23053216934204,167.036522942193,356.889587402343,0.6879501616644653,-31.204983234882004,-0.5995006985798488,1,True,1,Critical
2018-07-21 22:20:00,109.957901000976,4.20351696014404,161.742360871422,2.71337890625,0.6798336547625516,-32.01663390547762,-0.5381542535105082,0,True,1,Moderate
2018-07-21 22:30:00,139.200805664062,4.51043987274169,224.212744032446,359.592590332031,0.6208425200981244,-37.915747544182594,-0.5933589497393537,1,True,1,Critical
2018-07-21 22:40:00,94.9708862304687,4.2020239830017,161.450863369158,1.22109198570251,0.588233990580053,-41.176600322611215,-0.5378232007202035,0,True,1,Severe
2018-07-21 22:50:00,119.188201904296,4.30242681503295,181.310070901123,359.804992675781,0.6573722058270154,-34.26277886575711,-0.5939590480601177,1,True,1,Critical
2018-07-21 23:00:00,74.349609375,4.08015012741088,138.025228706082,359.886413574218,0.538666804129389,-46.133318862555875,-0.6006437652995475,1,True,1,Critical
2018-07-21 23:10:00,26.5742092132568,3.6829650402069,75.1701809782071,0.190400406718254,0.35352061833455506,-64.64793683622977,-0.568469573732816,1,True,1,Critical
